ANNO;CODICE REGIONE;DENOMINAZIONE REGIONE;CODICE AZIENDA;DENOMINAZIONE AZIENDA;INDIRIZZO;CAP;COMUNE;SIGLA PROVINCIA;TELEFONO;FAX;E-MAIL;SITO WEB;PARTITA IVA
2010;010;PIEMONTE;201;TO1;VIA S.SECONDO 29      ;10128;TORINO;TO;;;;;
2010;010;PIEMONTE;202;TO2;CORSO SVIZZERA 164     ;10149;TORINO;TO;;;;;
2010;010;PIEMONTE;203;TO3;VIA MARTIRI XXX APRILE 30      ;10093;COLLEGNO;TO;;;;;
2010;010;PIEMONTE;204;TO4;Via Po 11      ;10034;CHIVASSO;TO;;;;;
2010;010;PIEMONTE;205;TO5;VIA SAN DOMENICO 21      ;10023;CHIERI;TO;;;;;
2010;010;PIEMONTE;206;VC;C.SO MARIO ABBIATE 21      ;13100;VERCELLI;VC;;;;;
2010;010;PIEMONTE;207;BI;VIA MARCONI 23      ;13900;BIELLA;BI;;;;;
2010;010;PIEMONTE;208;NO;VIA DEI MILLE 2       ;28100;NOVARA;NO;;;;;
2010;010;PIEMONTE;209;VCO;VIA MAZZINI 117     ;28887;OMEGNA;VB;;;;;
2010;010;PIEMONTE;210;CN1;VIA CARLO BOGGIO 12      ;12100;CUNEO;CN;;;;;
2010;010;PIEMONTE;211;CN2;VIA VIDA 10      ;12051;ALBA;CN;;;;;
2010;010;PIEMONTE;212;AT;VIA CONTE VERDE 125     ;14100;ASTI;AT;;;;;
2010;010;PIEMONTE;213;AL;VIALE GIOLITTI 2       ;15033;CASALE MONFERRATO;AL;;;;;
2010;020;VALLE DAOSTA;101;AOSTA;VIA GUIDO REY 1;11100;AOSTA;AO;;;;;
2010;030;LOMBARDIA;301;A.S.L. DELLA PROVINCIA DI BERGAMO;VIA GALLICCIOLLI 4       ;24121;BERGAMO;BG;;;;;
2010;030;LOMBARDIA;302;A.S.L. DELLA PROVINCIA DI BRESCIA;V.LE DUCA DEGLI ABRUZZI 15      ;25124;BRESCIA;BS;;;;;
2010;030;LOMBARDIA;303;A.S.L. DELLA PROVINCIA DI COMO;VIA PESSINA 6       ;22100;COMO;CO;;;;;
2010;030;LOMBARDIA;304;A.S.L. DELLA PROVINCIA DI CREMONA;VIA S. SEBASTIANO 14      ;26100;CREMONA;CR;;;;;
2010;030;LOMBARDIA;305;A.S.L. DELLA PROVINCIA DI LECCO;C.SO CARLO ALBERTO 120     ;23900;LECCO;LC;;;;;
2010;030;LOMBARDIA;306;A.S.L. DELLA PROVINCIA DI LODI;P.ZZA OSPEDALE 1       ;26900;LODI;LO;;;;;
2010;030;LOMBARDIA;307;A.S.L. DELLA PROVINCIA DI MANTOVA;VIA DEI TOSCANI 1       ;46100;MANTOVA;MN;;;;;
2010;030;LOMBARDIA;308;A.S.L. DI MILANO;C.SO ITALIA 19      ;20122;MILANO;MI;;;;;
2010;030;LOMBARDIA;309;A.S.L. DELLA PROVINCIA DI MILANO 1;VIA SAVONAROLA 3       ;20025;LEGNANO;MI;;;;;
2010;030;LOMBARDIA;310;A.S.L. DELLA PROVINCIA DI MILANO 2;VIA VIII GIUGNO 69      ;20077;MELEGNANO;MI;;;;;
2010;030;LOMBARDIA;311;A.S.L. PROVINCIA DI MONZA E BRIANZA;VIALE ELVEZIA 2       ;20052;MONZA;MB;;;;;
2010;030;LOMBARDIA;312;A.S.L. DELLA PROVINCIA DI PAVIA;VIALE INDIPENDENZA 3       ;27100;PAVIA;PV;;;;;
2010;030;LOMBARDIA;313;A.S.L. DELLA PROVINCIA DI SONDRIO;VIA NAZARIO SAURO 33      ;23100;SONDRIO;SO;;;;;
2010;030;LOMBARDIA;314;A.S.L. DELLA PROVINCIA DI VARESE;VIA OTTORINO ROSSI 9       ;21100;VARESE;VA;;;;;
2010;030;LOMBARDIA;315;A.S.L. DI VALLECAMONICA-SEBINO;VIA NISSOLINA 2       ;25043;BRENO;BS;;;;;
2010;041;PROV. AUTON. BOLZANO;201;AZIENDA SANITARIA DELLA P.A. DI BOLZANO;VIA CASSA DI RISPARMIO 4       ;39100;BOLZANO;BZ;;;;;
2010;042;PROV. AUTON. TRENTO;101;TRENTO;VIA DE GASPERI, 79;38100;TRENTO;TN;;;;;
2010;050;VENETO;101;BELLUNO;VIA FELTRE  57      ;32100;BELLUNO;BL;;;;;
2010;050;VENETO;102;FELTRE;VIA BAGNOLS SUR CEZE 3       ;32032;FELTRE;BL;;;;;
2010;050;VENETO;103;BASSANO DEL GRAPPA;VIA DEI LOTTI 40      ;36061;BASSANO DEL GRAPPA;VI;;;;;
2010;050;VENETO;104;THIENE;VIA RASA  9       ;36016;THIENE;VI;;;;;
2010;050;VENETO;105;ARZIGNANO;VIA TRENTO  4       ;36071;ARZIGNANO;VI;;;;;
2010;050;VENETO;106;VICENZA;V.LE RODOLFI 37      ;36100;VICENZA;VI;;;;;
2010;050;VENETO;107;PIEVE DI SOLIGO;VIA LUBIN  22      ;31053;PIEVE DI SOLIGO;TV;;;;;
2010;050;VENETO;108;ASOLO;VIA FORESTUZZO  41      ;31011;ASOLO;TV;;;;;
2010;050;VENETO;109;TREVISO;BORGO CAVALLI  42      ;31100;TREVISO;TV;;;;;
2010;050;VENETO;110;S. DONA DI PIAVE;P.ZZA DE GASPERI  5       ;30027;SAN DONA DI PIAVE;VE;;;;;
2010;050;VENETO;112;VENEZIANA;VIA DON TOSATTO 147     ;30174;VENEZIA;VE;;;;;
